Year,Rank,Name,Birthland,Standingland,Birthyear,Sex,Sire,Dam,Wins,Races,WinPercent,1st,2nd,3rd,WinDistance,Link
2001,19,Heavens Malchik ,IE,IU,1997,m,Daleys Denis,Heaven Sent,16,29,55%,16,7,2,366 m,http://www.greyhound-data.com/d?i=98410
2001,27,Apple Rambler ,IE,IE,1997,m,Vintage Prince,Apple Tower,15,33,45%,15,9,2,424 m,http://www.greyhound-data.com/d?i=7619
2001,37,Bangor Don ,IE,UK,1997,m,Trade Official,Bangor Jane,13,21,61%,13,1,2,469 m,http://www.greyhound-data.com/d?i=14622
2001,66,Woodbrook Wine ,IE,IE,1997,f,Scoby Deas,Redwood Katie,11,22,50%,11,4,1,585 m,http://www.greyhound-data.com/d?i=254018
2001,84,Ciaras Ceili ,IE,UK,1997,m,Cork Jim,Ballynoe Lass,10,19,52%,10,2,5,440 m,http://www.greyhound-data.com/d?i=43518
2001,94,Billionaire ,IE,IE,1997,m,Michaels Machine,Sparky Rose,10,27,37%,10,9,2,509 m,http://www.greyhound-data.com/d?i=21095
2001,1,Parliament Act ,IE,IE,1998,m,Trade Official,Lemon Ashling,23,34,67%,23,2,6,292 m,http://www.greyhound-data.com/d?i=174430
2001,2,Ballmac Keano ,IE,IE,1998,m,He Knows,Blonde Slippy,23,39,58%,23,6,3,465 m,http://www.greyhound-data.com/d?i=13233
2001,4,El Othello ,IE,ES,1998,m,Top Honcho *,Oakfront Star,21,43,48%,21,7,9,573 m,http://www.greyhound-data.com/d?i=70589
2001,5,No Can Waltz ,IE,DE,1998,m,Arrigle Buddy,Clonleigh Lass,20,36,55%,20,8,4,617 m,http://www.greyhound-data.com/d?i=165181
2001,7,Sonic Flight ,UK,IE,1998,m,Frightful Flash *,Westmead Flight,19,27,70%,19,5,1,482 m,http://www.greyhound-data.com/d?i=217199
2001,11,Late Late Show ,IE,AU,1998,m,Spiral Nikita,Ullid Citrate,17,26,65%,17,6,1,498 m,http://www.greyhound-data.com/d?i=129731
2001,14,Rossa Ranger ,IE,IE,1998,m,Come On Ranger,Emmerdale Pine,17,35,48%,17,7,5,438 m,http://www.greyhound-data.com/d?i=197959
2001,15,Let Us Know ,IE,IE,1998,f,Frightful Flash *,Rock Flagship,17,38,44%,17,10,6,853 m,http://www.greyhound-data.com/d?i=132077
2001,18,Koko Casino ,IE,IE,1998,m,Small Fortune,Sonic Bluebell,16,26,61%,16,2,6,563 m,http://www.greyhound-data.com/d?i=125824
2001,22,Windgap Java ,IE,IE,1998,m,Lassa Java,Dysart Turnover,15,22,68%,15,2,2,484 m,http://www.greyhound-data.com/d?i=252471
2001,23,Pretty Smokey ,IE,IE,1998,m,Lemon Smokey,Westbake Angel,15,24,62%,15,5,2,302 m,http://www.greyhound-data.com/d?i=182578
2001,25,Elliots Pride ,IE,IE,1998,m,Slaneyside Hare,Rubys Bridge,15,30,50%,15,7,5,279 m,http://www.greyhound-data.com/d?i=70365
2001,32,Aglish Ben ,IE,IE,1998,m,Thorgil Tex *,Jalee Gem,14,31,45%,14,10,4,462 m,http://www.greyhound-data.com/d?i=2079
2001,33,Hello Bud ,IE,IE,1998,m,Arrigle Buddy,Clonleigh Lass,14,31,45%,14,10,3,623 m,http://www.greyhound-data.com/d?i=98782
2001,35,Westmead Baron ,UK,UK,1998,m,Toms the Best,Westmead Chick,14,40,35%,14,12,4,542 m,http://www.greyhound-data.com/d?i=249104
2001,38,Venture Bona ,IE,PK,1998,m,Staplers Jo,Live Commentary,13,24,54%,13,1,3,259 m,http://www.greyhound-data.com/d?i=349187
